date	close
1984	26471
1985	28310
1986	29712
1987	32764
1988	33681
1989	38059
1990	42733
1991	46233
1992	47012
1993	50603
1994	56052
1995	61992
1996	64333
1997	64713
1998	66280
1999	68599
2000	71233
2001	72007
2002	73553
2003	77316
2004	81974
2005	84901
2006	88576
2007	92844
2008	98192
2009	100894
2010	102232
2011	102319
2012	100527
2013	100884
2014	100942
2015	100050
2016	99119
